Date (yyyy-mm-dd),Timestamp (hh:mm:ss.nnn),G1 (W/m2),G2 (W/m2)
2014-10-21,05:53:00.000,0,0
2014-10-21,05:54:00.000,0,0
2014-10-21,05:55:00.000,0,0
2014-10-21,05:56:00.000,0,0
2014-10-21,05:57:00.000,0,0
2014-10-21,05:58:00.000,0,0
2014-10-21,05:59:00.000,0,0
2014-10-21,06:00:00.000,0,0
2014-10-21,06:01:00.000,0,0
2014-10-21,06:02:00.000,0,0
2014-10-21,06:03:00.000,0,0
2014-10-21,06:04:00.000,0,0
2014-10-21,06:05:00.000,0,0
2014-10-21,06:06:00.000,0,0
2014-10-21,06:07:00.000,0,0
2014-10-21,06:08:00.000,0,0
2014-10-21,06:09:00.000,0,0
2014-10-21,06:10:00.000,0,0
2014-10-21,06:11:00.000,0,0
2014-10-21,06:12:00.000,0,0
2014-10-21,06:13:00.000,0,0
2014-10-21,06:14:00.000,0,0
2014-10-21,06:15:00.000,0,0
2014-10-21,06:16:00.000,0,0
2014-10-21,06:17:00.000,0,0
2014-10-21,06:18:00.000,0,0
2014-10-21,06:19:00.000,0,0
2014-10-21,06:20:00.000,0,0
2014-10-21,06:21:00.000,0,0
2014-10-21,06:22:00.000,0,0
2014-10-21,06:23:00.000,1,0
2014-10-21,06:24:00.000,1,1
2014-10-21,06:25:00.000,2,2
2014-10-21,06:26:00.000,4,3
2014-10-21,06:27:00.000,5,4
2014-10-21,06:28:00.000,7,5
2014-10-21,06:29:00.000,9,6
2014-10-21,06:30:00.000,10,7
2014-10-21,06:31:00.000,11,9
2014-10-21,06:32:00.000,13,10
2014-10-21,06:33:00.000,14,11
2014-10-21,06:34:00.000,15,12
2014-10-21,06:35:00.000,16,13
2014-10-21,06:36:00.000,17,13
2014-10-21,06:37:00.000,18,14
2014-10-21,06:38:00.000,19,15
2014-10-21,06:39:00.000,20,15
2014-10-21,06:40:00.000,21,16
2014-10-21,06:41:00.000,21,16
2014-10-21,06:42:00.000,22,17
2014-10-21,06:43:00.000,22,17
2014-10-21,06:44:00.000,22,17
2014-10-21,06:45:00.000,23,17
2014-10-21,06:46:00.000,22,17
2014-10-21,06:47:00.000,22,18
2014-10-21,06:48:00.000,22,18
2014-10-21,06:49:00.000,22,18
2014-10-21,06:50:00.000,22,17
2014-10-21,06:51:00.000,22,17
2014-10-21,06:52:00.000,21,17
2014-10-21,06:53:00.000,21,17
2014-10-21,06:54:00.000,21,17
2014-10-21,06:55:00.000,21,16
2014-10-21,06:56:00.000,21,16
2014-10-21,06:57:00.000,21,16
2014-10-21,06:58:00.000,21,16
2014-10-21,06:59:00.000,21,17
2014-10-21,07:00:00.000,21,18
2014-10-21,07:01:00.000,23,19
2014-10-21,07:02:00.000,24,20
2014-10-21,07:03:00.000,26,22
2014-10-21,07:04:00.000,28,25
2014-10-21,07:05:00.000,31,27
2014-10-21,07:06:00.000,33,29
2014-10-21,07:07:00.000,35,30
2014-10-21,07:08:00.000,36,31
2014-10-21,07:09:00.000,36,32
2014-10-21,07:10:00.000,37,33
2014-10-21,07:11:00.000,38,34
2014-10-21,07:12:00.000,39,35
2014-10-21,07:13:00.000,40,35
2014-10-21,07:14:00.000,41,36
2014-10-21,07:15:00.000,42,37
2014-10-21,07:16:00.000,42,37
2014-10-21,07:17:00.000,43,37
2014-10-21,07:18:00.000,42,36
2014-10-21,07:19:00.000,40,34
2014-10-21,07:20:00.000,39,33
2014-10-21,07:21:00.000,37,31
2014-10-21,07:22:00.000,35,29
2014-10-21,07:23:00.000,34,28
2014-10-21,07:24:00.000,34,28
2014-10-21,07:25:00.000,34,28
2014-10-21,07:26:00.000,34,29
2014-10-21,07:27:00.000,34,29
2014-10-21,07:28:00.000,36,30
2014-10-21,07:29:00.000,37,31
2014-10-21,07:30:00.000,38,32
2014-10-21,07:31:00.000,37,31
2014-10-21,07:32:00.000,37,31
2014-10-21,07:33:00.000,36,30
2014-10-21,07:34:00.000,36,30
2014-10-21,07:35:00.000,36,30
2014-10-21,07:36:00.000,35,29
2014-10-21,07:37:00.000,34,29
2014-10-21,07:38:00.000,34,29
2014-10-21,07:39:00.000,34,28
2014-10-21,07:40:00.000,34,28
2014-10-21,07:41:00.000,34,27
2014-10-21,07:42:00.000,33,27
2014-10-21,07:43:00.000,33,27
2014-10-21,07:44:00.000,34,27
2014-10-21,07:45:00.000,35,28
2014-10-21,07:46:00.000,35,28
2014-10-21,07:47:00.000,36,29
2014-10-21,07:48:00.000,37,30
2014-10-21,07:49:00.000,37,31
2014-10-21,07:50:00.000,38,31
2014-10-21,07:51:00.000,38,32
2014-10-21,07:52:00.000,38,32
2014-10-21,07:53:00.000,39,33
2014-10-21,07:54:00.000,39,33
2014-10-21,07:55:00.000,39,32
2014-10-21,07:56:00.000,38,31
