Date (yyyy-mm-dd),Timestamp (hh:mm:ss.nnn),G1 (W/m2),G2 (W/m2)
2015-10-08,05:55:00.000,0,0
2015-10-08,05:56:00.000,0,0
2015-10-08,05:57:00.000,0,0
2015-10-08,05:58:00.000,0,0
2015-10-08,05:59:00.000,0,0
2015-10-08,06:00:00.000,0,0
2015-10-08,06:01:00.000,0,0
2015-10-08,06:02:00.000,0,0
2015-10-08,06:03:00.000,0,0
2015-10-08,06:04:00.000,0,0
2015-10-08,06:05:00.000,0,0
2015-10-08,06:06:00.000,0,0
2015-10-08,06:07:00.000,0,0
2015-10-08,06:08:00.000,1,0
2015-10-08,06:09:00.000,1,1
2015-10-08,06:10:00.000,1,1
2015-10-08,06:11:00.000,2,1
2015-10-08,06:12:00.000,2,1
2015-10-08,06:13:00.000,2,2
2015-10-08,06:14:00.000,3,2
2015-10-08,06:15:00.000,3,2
2015-10-08,06:16:00.000,3,3
2015-10-08,06:17:00.000,4,3
2015-10-08,06:18:00.000,4,3
2015-10-08,06:19:00.000,4,4
2015-10-08,06:20:00.000,5,4
2015-10-08,06:21:00.000,5,5
2015-10-08,06:22:00.000,6,5
2015-10-08,06:23:00.000,6,5
2015-10-08,06:24:00.000,6,6
2015-10-08,06:25:00.000,7,6
2015-10-08,06:26:00.000,7,7
2015-10-08,06:27:00.000,8,7
2015-10-08,06:28:00.000,8,8
2015-10-08,06:29:00.000,8,8
2015-10-08,06:30:00.000,8,8
2015-10-08,06:31:00.000,9,9
2015-10-08,06:32:00.000,9,9
2015-10-08,06:33:00.000,10,10
2015-10-08,06:34:00.000,10,10
2015-10-08,06:35:00.000,11,11
2015-10-08,06:36:00.000,11,11
2015-10-08,06:37:00.000,12,11
2015-10-08,06:38:00.000,12,12
2015-10-08,06:39:00.000,12,12
2015-10-08,06:40:00.000,13,13
2015-10-08,06:41:00.000,13,14
2015-10-08,06:42:00.000,14,14
2015-10-08,06:43:00.000,16,16
2015-10-08,06:44:00.000,16,17
2015-10-08,06:45:00.000,17,18
2015-10-08,06:46:00.000,16,17
2015-10-08,06:47:00.000,15,16
2015-10-08,06:48:00.000,16,16
2015-10-08,06:49:00.000,16,17
2015-10-08,06:50:00.000,18,18
2015-10-08,06:51:00.000,18,18
2015-10-08,06:52:00.000,17,18
2015-10-08,06:53:00.000,17,17
2015-10-08,06:54:00.000,18,19
2015-10-08,06:55:00.000,19,21
2015-10-08,06:56:00.000,21,22
2015-10-08,06:57:00.000,20,21
2015-10-08,06:58:00.000,21,22
2015-10-08,06:59:00.000,22,23
2015-10-08,06:59:49.430,24,28
